"Gene1","Gene2"
"PITX2","LYRM4"
"SOX9","XPO4"
"SOX10","SH3KBP1"
"PITX2","ALDH5A1"
"PITX2","OCA2"
"MITF","OCA2"
"TBX2","OCA2"
"TCF15","TNMD"
"SOX9","DCC"
"BCL11A","DCC"
"NFIA","RBFOX3"
"NFIX","RBFOX3"
"NFIB","RBFOX3"
"HOXB3","CDCA3"
"TFE3","ASPSCR1"
"PITX2","DACT2"
"SOX9","MATN1"
"TBX2","GJC1"
"MITF","SBNO2"
"NFIA","EPHA5"
"OLIG2","EPHA5"
"NFIX","EPHA5"
"NFIB","EPHA5"
"SOX9","CATSPER1"
"PITX2","CSH1"
"NFIA","PROC"
"PITX2","TWF1"
"FOXC2","CCL3L3"
"MITF","GNG2"
"PAX3","LCAT"
"POU3F2","GPX6"
"TFE3","SGPL1"
"POU3F2","SGPL1"
"OLIG2","EPHA3"
"HOXA13","EPHA3"
"TLE5","EPHA3"
"MITF","HERC2"
"POU3F2","PDE5A"
"SOX9","PRAME"
"TCF4","CLEC4C"
"TCF4","DEFA6"
"TCF4","HECA"
"HHEX","CER1"
"MITF","GPR143"
"SOX10","ZFP91"
"TBX2","SHISA3"
"TBX20","SORBS3"
"NFIA","TNFRSF14"
"TFE3","FNIP2"
"NFIA","ANOS1"
"NFIX","ANOS1"
"NFIB","ANOS1"
"NFIA","ROBO1"
"NFIX","ROBO1"
"NFIB","ROBO1"
"FOXD3","CNBP"
"MITF","SLC45A2"
"MITF","NDST2"
"PITX2","TRIO"
"PKNOX1","RNF6"
"SOX9","GJB6"
"SOX9","PRELP"
"SOX9","BTN1A1"
"OLIG2","ARHGAP8"
"OLIG2","SIGLEC8"
