"Gene1","Gene2"
"NFKB1","NFKBID"
"RELA","CXCL12"
"NFKB1","CXCL12"
"RELA","CCR7"
"NFKB1","CCR7"
"RELA","MTDH"
"NFKB1","GCA"
"RELA","NLRP2"
"NFKB1","NLRP2"
"RELA","VEGFD"
"NFKB1","VEGFD"
"NFKB1","PGLYRP2"
"RELA","BHMT"
"NFKB1","BHMT"
"RELA","TNFRSF18"
"NFKB1","TNFRSF18"
"RELA","CCL15"
"NFKB1","CCL15"
"CREB3","CCL15"
"RELA","PADI4"
"NFKB1","PADI4"
"RELA","TLR7"
"NFKB1","TLR7"
"RELA","CD83"
"NFKB1","CD83"
"RELA","TREM1"
"NFKB1","TREM1"
"RELA","TNFRSF4"
"NFKB1","TNFRSF4"
"RELA","CD46"
"RELA","PADI1"
"NFKB1","PADI1"
"RELA","CARD8"
"NFKB1","CARD8"
"RELA","FLT4"
"NFKB1","FLT4"
"RELA","CCR2"
"NFKB1","CCR2"
"CREB3","CCR2"
"RELA","KRT35"
"RELA","TRPC1"
"NFKB1","TRPC1"
"RELA","NOX4"
"NFKB1","NOX4"
"RELA","TRADD"
"NFKB1","TRADD"
"RELA","HSPD1"
"RELA","GPHB5"
"RELA","LY96"
"NFKB1","RPS3"
"RELA","OLFM4"
"NFKB1","OLFM4"
"RELA","RPS6KA4"
"RELA","RGS4"
"NFKB1","RGS4"
"RELA","BIRC2"
"NFKB1","BIRC2"
"RELA","CRHR1"
"NFKB1","CRHR1"
"NFKB1","UACA"
"RELA","RAPSN"
"RELA","CCR3"
"NFKB1","CCR3"
"RELA","TANK"
"NFKB1","TANK"
"RELA","NOLC1"
"NFKB1","NOLC1"
"RELA","CXCL3"
"NFKB1","CXCL3"
"RELA","KMT5C"
"RELA","IL17C"
"NFKB1","IL17C"
"RELA","HTRA1"
"RELA","IL33"
"RELA","THOC1"
"RELA","TRPC6"
"NFKB1","TRPC6"
"RELA","TSLP"
"NFKB1","TSLP"
"RELA","RNH1"
"RELA","SDC4"
"NFKB1","SDC4"
"RELA","EIF4H"
"RELA","OPTN"
"NFKB1","OPTN"
"RELA","ADGRG3"
"NFKB1","ADGRG3"
"RELA","RGS1"
"RELA","GABPB2"
"RELA","AMIGO2"
"RELA","LTC4S"
"NFKB1","LTC4S"
"RELA","CCL17"
"NFKB1","PDE7A"
"RELA","PSMB10"
"NFKB1","PSMB10"
"RELA","ADORA3"
"NFKB1","ADORA3"
"NFKB1","BST1"
"RELA","CFI"
"NFKB1","CFI"
"RELA","GKN2"
"NFKB1","GKN2"
"NFKB1","HAX1"
"RELA","REPS2"
"NFKB1","REPS2"
"RELA","RIPK2"
"NFKB1","RIPK2"
"RELA","SLC25A27"
"NFKB1","SLC25A27"
"RELA","STK39"
"NFKB1","STK39"
"RELA","TNFRSF9"
"NFKB1","TNFRSF9"
"RELA","TNIP3"
"NFKB1","TNIP3"
"NFKB1","NPY1R"
"RELA","IL20"
"NFKB1","IL20"
"CREB3","EDEM1"
"RELA","GALK1"
"RELA","P2RY2"
"RELA","hsa-miR-224-5p"
